State,City,Scale_of_Operation,Monthly_Production_Tons,Machine_Utilization_Pct,Skilled_Labor_Pct,Transport_Cost_Rs_per_Ton,Quality_Rejection_Rate_Pct,Avg_Selling_Price_Rs_sqm,Net_Profit_Margin_Pct,Profitability_Class
Tamil Nadu,Dharmapuri,Medium,2813.9,98.0,61.77,1302.87,5.19,2415.96,22.405,High
Rajasthan,Makrana,Medium,3256.29,85.5,53.27,2438.38,8.63,2235.77,14.283,Medium
Andhra Pradesh,Ongole,Small,1723.55,58.63,51.31,1914.61,5.0,1965.24,9.746,Medium
Rajasthan,Udaipur,Small,1954.08,78.71,55.6,1779.59,8.15,2324.9,12.879,Medium
Andhra Pradesh,Guntur,Medium,2098.17,76.42,61.81,1508.74,9.52,2267.57,13.316,Medium
Telangana,Karimnagar,Medium,1918.22,80.77,52.32,1864.56,5.63,1329.5,12.992,Medium
Rajasthan,Jodhpur,Medium,3078.99,94.22,55.39,,2.66,2125.74,16.408,High
Telangana,Warangal,Medium,2630.04,77.46,50.56,2079.45,4.43,1760.67,9.713,Medium
Rajasthan,Makrana,Medium,2873.7,71.0,88.77,1210.09,8.76,2744.85,18.35,High
Telangana,Warangal,Large,4533.01,98.0,80.7,1708.28,7.7,2178.19,17.946,High
Andhra Pradesh,Kadapa,Medium,2998.54,65.62,45.04,1322.64,3.5,2110.77,8.466,Medium
Rajasthan,Udaipur,Large,5050.0,76.25,44.14,2346.92,5.38,2128.51,13.817,Medium
Telangana,Warangal,Small,1472.54,85.28,50.82,1433.54,9.64,1551.38,9.568,Medium
Rajasthan,Kishangarh,Medium,2985.52,63.79,34.83,3005.79,4.18,2066.91,9.335,Medium
Tamil Nadu,Madurai,Small,1817.44,81.5,69.62,1225.56,7.15,2147.39,13.278,Medium
Tamil Nadu,Krishnagiri,Small,1621.5,67.44,20.0,1145.46,1.8,2367.41,10.736,Medium
Andhra Pradesh,Nellore,Small,1677.56,73.55,50.6,1814.85,11.07,1956.36,5.828,Low
Karnataka,Ramanagara,Medium,3619.78,71.91,39.81,1464.37,8.23,2274.97,11.635,Medium
Andhra Pradesh,Ongole,Small,1260.32,74.77,62.74,1758.26,7.65,1622.1,8.429,Medium
